Slide,Patch,Diagnosis
3,18782,1
3,5485,1
3,3478,1
3,19984,1
3,14496,1
3,25525,1
3,14138,1
3,19160,1
3,16996,1
3,26310,1
3,6004,1
3,6508,1
3,9695,1
3,21108,1
3,26574,1
3,26193,1
3,16985,1
3,25629,1
3,10809,1
3,4557,1
3,8028,1
3,7425,1
3,26616,1
3,3219,1
3,23573,1
3,4802,1
3,18360,1
3,22393,1
3,12576,1
3,13483,1
3,6275,1
3,19226,1
3,15382,1
3,14198,1
3,16334,1
3,8479,1
3,26399,1
3,15771,1
3,12927,1
3,22967,1
3,23411,1
3,17912,1
3,14384,1
3,10477,1
3,14348,1
3,4637,1
3,8803,1
3,26396,1
3,9884,1
3,10875,1
3,23256,1
3,18652,1
3,12995,1
3,5559,1
3,14337,1
3,2297,1
3,5648,1
3,20979,1
3,9105,1
3,18215,1
3,23274,1
3,9111,1
3,7802,1
3,17473,1
3,24634,1
3,17487,1
3,4992,1
3,16135,1
3,3331,1
3,9342,1
3,10254,1
3,21206,1
3,14941,1
3,8837,1
3,24237,1
3,10493,1
3,9652,1
3,7485,1
3,2303,1
3,18350,1
3,4680,1
3,4732,1
3,17228,1
3,8922,1
3,10166,1
3,14456,1
3,21499,1
3,24832,1
3,7841,1
3,3888,1
3,1019,1
3,5743,1
3,22194,1
3,5564,1
3,18377,1
3,15643,1
3,5439,1
3,8286,1
3,13591,1
3,256,1
3,6948,1
3,25995,1
3,26630,1
3,11927,1
3,4767,1
3,1656,1
3,23356,1
3,11108,1
3,2333,1
3,18383,1
3,20946,1
3,18163,1
3,14854,1
3,21738,1
3,2248,1
3,22874,1
3,21400,1
3,17688,1
3,10013,1
3,9094,1
3,22506,1
3,12146,1
3,9335,1
3,24063,1
3,10189,1
3,9470,1
3,6344,1
3,13439,1
3,13168,1
3,8123,1
3,13983,1
3,16129,1
3,11292,1
3,14467,1
3,3160,1
3,22136,1
3,23787,1
3,15041,1
3,5274,1
3,9772,1
3,22262,1
3,23602,1
3,10286,1
3,19947,1
3,16214,1
3,19660,1
3,19274,1
3,11030,1
3,6559,1
3,957,1
3,9557,1
3,11609,1
3,13896,1
3,23002,1
3,7481,1
3,5081,1
3,22484,1
3,22260,1
3,23085,1
3,5323,1
3,19297,1
3,12599,1
3,16405,1
3,3898,1
3,6747,1
3,6602,1
3,4713,1
3,8268,1
3,21466,1
3,22274,1
3,2871,1
3,12471,1
3,19924,1
3,19072,1
3,21933,1
3,10302,1
3,25122,1
3,925,1
3,2732,1
3,4015,1
3,713,1
3,9052,1
3,868,1
3,19886,1
3,3957,1
3,21252,1
3,7232,1
3,13358,1
3,26372,1
3,12050,1
3,19186,1
3,8046,1
3,3049,1
3,5010,1
3,15359,1
3,12359,1
3,21602,1
3,22668,1
3,479,1
3,26416,1
3,3261,1
3,18269,1
3,18328,1
3,21735,1
3,6487,1
3,14818,1
3,13715,1
3,11983,1
3,10709,1
3,25109,1
3,5505,1
3,657,1
3,11449,1
3,21109,1
3,19114,1
3,11397,1
3,22477,1
3,18228,1
3,14957,1
3,24140,1
3,17057,1
3,439,1
3,1039,1
3,10986,1
3,22514,1
3,19928,1
3,8526,1
3,11077,1
3,1,1
3,22295,1
3,5788,1
3,15130,1
3,14683,1
3,13096,1
3,14205,1
3,2699,1
3,3020,1
3,14907,1
3,5167,1
3,1070,1
3,18275,1
3,16089,1
3,9263,1
3,6407,1
3,14869,1
3,2315,1
3,14123,1
3,21245,1
3,8722,1
3,22104,1
3,21409,1
3,26198,1
3,2453,1
3,1663,1
3,25778,1
3,24637,1
3,24968,1
3,23658,1
3,25257,1
3,6116,1
3,19803,1
3,3230,1
3,25350,1
3,8762,1
3,9926,1
3,23350,1
3,26699,1
3,16596,1
3,4812,1
3,6079,1
3,14418,1
3,19577,1
3,7135,1
3,17040,1
3,15966,1
3,5727,1
3,24705,1
3,5973,1
3,14995,1
3,6328,1
3,23830,1
3,25074,1
3,19975,1
3,22193,1
3,21952,1
3,5353,1
3,14279,1
3,6152,1
3,10950,1
3,10706,1
3,9665,1
3,2907,1
3,10492,1
3,10635,1
3,13128,1
3,11705,1
3,21080,1
3,22087,1
3,11011,1
3,7340,1
3,1697,1
3,22610,1
3,1183,1
3,15675,1
3,12731,1
3,17634,1
3,6392,1
3,8264,1
3,14033,1
3,3169,1
3,16491,1
3,24722,1
3,3399,1
3,18908,1
3,138,1
3,22639,1
3,16323,1
3,22612,1
3,16997,1
3,26327,1
3,22355,1
3,9389,1
3,4573,1
3,17202,1
3,2997,1
3,10851,1
3,23478,1
3,24201,1
3,24696,1
3,5430,1
3,24042,1
3,3623,1
3,25403,1
3,9273,1
3,6812,1
3,890,1
3,11427,1
3,13294,1
3,5157,1
3,5060,1
3,17852,1
3,16874,1
3,23507,1
3,7843,1
3,25388,1
3,11921,1
3,6387,1
3,20521,1
3,26520,1
3,6449,1
